評論,tokens
"我的頭髮很多，而且不是那種很容易出油的髮質
所以基本上不太挑洗髮精
但不知道是不是今年天氣的關係，還是真的用到不適合的洗髮精
近期每次出門（ 無論上班、出遊 ）戴完安全帽頭髮都會又油又扁吃困擾 (；´Д｀)
這次用了巴黎小姐的「 獸首孔雀控油洗髮精 」+「 獸首孔雀免沖洗護髮素 」直接愛上！再度還我蓬鬆髮絲
一開始有點擔心控油洗髮精會不會很乾澀 'ㅅ'
不過巴黎小姐的「 控油洗髮精 」有添加薰衣草、生薑等草本精華以及咖啡因養髮精華
不僅可以平衡頭皮油脂，還能夠改善髮根強韌度，使用完頭皮超蓬鬆！
最重要的是","['我', '的', '頭髮', '很多', '而且', '不', '是', '那', '種', '很', '容易', '出', '油', '的', '髮質', '所以', '基本', '上', '不', '太', '挑', '洗髮精', '但', '不', '知道', '是', '不', '是', '今年', '天氣', '的', '關係', '還是', '真的', '用到', '不', '適合', '的', '洗髮精', '近期', '每', '次', '出門', '無論', '上班', '出遊', '戴完', '安全帽', '頭髮', '都', '會', '又', '油', '又', '扁', '吃', '困擾', '這', '次', '用', '了', '巴黎', '小姐', '的', '獸首', '孔雀', '控油', '洗髮精', '獸首', '孔雀', '免', '沖洗', '護髮素', '直接', '愛上', '再度', '還', '我', '蓬鬆', '髮絲', '一', '開始', '有點', '擔心', '控油', '洗髮精', '會不會', '很', '乾澀', '不過', '巴黎', '小姐', '的', '控油', '洗髮精', '有', '添加', '薰衣草', '生薑', '等', '草本', '精華', '以及', '咖啡因', '養髮', '精華', '不僅', '可以', '平衡', '頭皮', '油脂', '還', '能夠', '改善', '髮根', '強', '韌度', '使用完', '頭皮', '超蓬鬆', '最', '重要', '的', '是']"
"去年9月所採購的洗髮品們，陸陸續續的使用，也即將用光光了～
（因為＂不會＂再回購，所以在這個空位寫一下我的心得囉！）
之前用過同品牌＜九蒸九曝髮翳淨髮精華露＞使用感受非常之好！(*Ő౪Ő*)
[古寶無患子] 九蒸九曝髮翳淨髮精華露
所以趁當時的檔期活動＂特價$219，加一元多一件＂，回購又順便購入這一款～控油的囉！
其實我並沒有頭皮屑的困擾～(〃ω〃)
但很多控油的產品都是這樣↓控油又抗屑的？！（我覺得很．．．）
包裝上有很多的中藥材料的本人照↑
事實上產品說明中～也有不少的中藥名稱！
這一款雖然說適合一","['去年', '月', '所', '採購', '的', '洗髮品', '們', '陸陸續續', '的', '使用', '也', '即將', '用光光', '了', '因為', '不會', '再', '回購', '所以', '在', '這', '個', '空位', '寫', '一下', '我', '的', '心得', '囉', '之前', '用過', '同', '品牌', '九蒸', '九曝髮翳', '淨髮', '精華露', '使用', '感受', '非常', '之', '好', '古寶無患子', '九蒸', '九曝髮翳', '淨髮', '精華露', '所以', '趁', '當時', '的', '檔期', '活動', '特價', '加', '一', '元', '多', '一', '件', '回購', '又', '順便', '購入', '這', '一', '款', '控油', '的', '囉', '其實', '我', '並', '沒有', '頭皮屑', '的', '困擾', '但', '很多', '控油', '的', '產品', '都', '是', '這樣', '控油', '又', '抗', '屑', '的', '我', '覺得', '很', '包裝', '上', '有', '很多', '的', '中藥', '材料', '的', '本人', '照', '事實', '上', '產品', '說明', '中', '也', '有', '不少', '的', '中藥', '名稱', '這', '一', '款', '雖然', '說', '適合', '一']"
"跟姊妹一起觀望一陣子，終於一起購入AVEDA洗髮精
以前對洗髮這塊比較沒那麼重視
總是以香味來選擇洗髮品
並懷疑高價位洗髮品真的有差?不就洗頭而已
用過才真的知道它的美好haha
成分真的很重要哦
之前去日本玩買了起泡盒
不管任何清潔產品，只要使用這個盒子就會有很濃密的泡泡❤
現在洗頭已經離不開要濃厚泡泡了
我覺得AVEDA這罐單純用手戳泡泡比較沒那麼濃密
草本的味道很清新
使用起泡盒它可以達到這樣子↑  不會掉下來
瓶身簡潔沒有過多華麗感
瓶口處有品牌刻紋
我買的是250ml
幾乎每天洗頭
這容量其實用","['跟', '姊妹', '一起', '觀望', '一陣子', '終於', '一起', '購入', '洗髮精', '以前', '對', '洗髮', '這', '塊', '比較', '沒', '那麼', '重視', '總是', '以', '香味', '來', '選擇', '洗髮品', '並', '懷疑', '高價位', '洗髮品', '真的', '有', '差不', '就', '洗頭', '而已', '用', '過', '才', '真的', '知道', '它', '的', '美好', '成分', '真的', '很', '重要', '哦', '之前', '去', '日本', '玩', '買', '了', '起泡盒', '不管', '任何', '清潔', '產品', '只要', '使用', '這', '個', '盒子', '就', '會', '有', '很', '濃密', '的', '泡泡', '現在', '洗頭', '已經', '離', '不', '開', '要', '濃厚', '泡泡', '了', '我', '覺得', '這', '罐', '單純', '用', '手', '戳', '泡泡', '比較', '沒', '那麼', '濃密', '草本', '的', '味道', '很', '清新', '使用', '起泡盒', '它', '可以', '達到', '這樣子', '不會', '掉下來', '瓶身', '簡潔', '沒有', '過多', '華麗感', '瓶口', '處', '有', '品牌', '刻紋', '我', '買', '的', '是', '幾乎', '每', '天', '洗頭', '這', '容量', '其實', '用']"
"每次洗完一瓶洗髮精都會換品牌，
這個牌子是因為聽了podcast節目而認識的品牌，
雖然這個洗髮精很雷，但我還是很愛那個podcast，
去藥妝店，剛好在架上看到它，當時心得少，想說看起來好像不錯用，就買了，
但是，第一天，只洗一次，晚上超痛苦，頭皮很癢，有種被悶住的感覺，
第二次使用洗兩次，好多了，但是隔天有時候頭皮偶而還是會癢，會有頭皮屑，
我第一次遇到如此讓我想趕快洗頭的洗髮精，雖然不會有很明顯的油頭味，
（用過隔天最明顯有油頭味是☞阿葵亞淨水賦活控油）
我很苦惱，只好去買新的一瓶洗髮精這樣互相搭配","['每', '次', '洗完', '一', '瓶', '洗髮精', '都', '會', '換', '品牌', '這', '個', '牌子', '是', '因為', '聽', '了', '節目', '而', '認識', '的', '品牌', '雖然', '這', '個', '洗髮精', '很', '雷', '但', '我', '還是', '很', '愛', '那', '個', '去', '藥妝店', '剛好', '在', '架', '上', '看到', '它', '當時', '心得', '少', '想', '說', '看起來', '好像', '不錯', '用', '就', '買', '了', '但是', '第一', '天', '只', '洗', '一', '次', '晚上', '超', '痛苦', '頭皮', '很', '癢', '有', '種', '被', '悶住', '的', '感覺', '第二', '次', '使用', '洗', '兩', '次', '好', '多了', '但是', '隔天', '有時候', '頭皮', '偶而', '還是', '會', '癢', '會', '有', '頭皮屑', '我', '第一', '次', '遇到', '如此', '讓', '我', '想', '趕快', '洗頭', '的', '洗髮精', '雖然', '不會', '有', '很', '明顯', '的', '油頭味', '用', '過', '隔天', '最', '明顯', '有', '油頭味', '是', '阿葵亞', '淨水', '賦活', '控油', '我', '很', '苦惱', '只好', '去', '買', '新', '的', '一', '瓶', '洗髮精', '這樣', '互相', '搭配']"
"最近半年對頭髮的狀態實在是有點困擾
本來就是細軟髮的髮質
又因為冬季防冷戴各式帽子
脫下後就處於扁塌狀態
或是容易因為悶著而出油變頻繁
然後最讓我憂心的是兩側額頭處的髮際線似乎有點越來越高😭
某天在社群滑來滑去被廣告吸引了這瓶
Dr.Ran雞蛋洗髮精
盒子與瓶身設計風格簡約韓風
主要成分就是雞蛋
雞蛋的卵黃含有70%與頭皮蛋白質相似的蛋白質
並含有促進毛髮健康的卵磷脂
能快速的緩解脫髮問題
我大概就是被這句話深深吸引的XD
帶點黑的透明洗髮精質地
淡雅類果香的味道
起泡蠻容易，我大概都按壓3-4次 的洗髮","['最近', '半', '年', '對', '頭髮', '的', '狀態', '實在', '是', '有點', '困擾', '本來', '就', '是', '細', '軟髮', '的', '髮質', '又', '因為', '冬季', '防冷', '戴', '各', '式', '帽子', '脫下', '後', '就', '處於', '扁塌', '狀態', '或是', '容易', '因為', '悶著', '而', '出', '油', '變', '頻繁', '然後', '最', '讓', '我', '憂心', '的', '是', '兩', '側', '額頭', '處', '的', '髮際線', '似乎', '有點', '越來越', '高', '某', '天', '在', '社群', '滑來滑去', '被', '廣告', '吸引', '了', '這', '瓶', '雞蛋', '洗髮精', '盒子', '與', '瓶身', '設計', '風格', '簡約', '韓風', '主要', '成分', '就', '是', '雞蛋', '雞蛋', '的', '卵黃', '含有', '與', '頭皮', '蛋白質', '相似', '的', '蛋白質', '並', '含有', '促進', '毛髮', '健康', '的', '卵磷脂', '能', '快速', '的', '緩解', '脫髮', '問題', '我', '大概', '就是', '被', '這', '句', '話', '深深', '吸引', '的', '帶', '點', '黑', '的', '透明', '洗髮精質地', '淡雅', '類', '果香', '的', '味道', '起泡', '蠻', '容易', '我', '大概', '都', '按', '壓次', '的', '洗髮']"
"當初在FB看到Sandy推薦，腦波弱就買下去了
購買的是當時廣告推薦的三冠王組-水漾薔薇+淨平衡控油+茶樹抗屑洗髮精
還有加購水漾薔薇＋淨平衡護髮素
貪心如我，我一次把三罐洗髮精跟兩款護髮素打開放在浴室
每天根據頭髮狀況跟心情選妃使用
-------------------------------------------------------
我的頭皮偏油性，基本上兩天洗一次頭（對，我懶）
淨平衡控油、茶樹抗屑洗髮精這兩罐我都很喜歡
但就不喜歡水漾薔薇這款
水漾薔薇是屬於保濕款的洗髮精
原本覺得在冬天應","['當初', '在', '看到', '推薦', '腦波弱', '就', '買下去', '了', '購買', '的', '是', '當時', '廣告', '推薦', '的', '三冠王組', '水漾', '薔薇', '淨', '平衡', '控油', '茶樹', '抗', '屑', '洗髮精', '還', '有', '加購', '水漾', '薔薇', '淨', '平衡', '護髮素', '貪心', '如', '我', '我', '一', '次', '把', '三', '罐', '洗髮精', '跟', '兩', '款', '護髮素', '打開', '放', '在', '浴室', '每', '天', '根據', '頭髮', '狀況', '跟', '心情', '選妃', '使用', '我', '的', '頭皮', '偏油性', '基本', '上', '兩', '天', '洗', '一', '次', '頭', '對', '我', '懶淨', '平衡', '控油', '茶樹', '抗', '屑', '洗髮精', '這', '兩', '罐', '我', '都', '很', '喜歡', '但', '就', '不', '喜歡', '水漾', '薔薇', '這', '款', '水漾', '薔薇', '是', '屬於', '保濕款', '的', '洗髮精', '原本', '覺得', '在', '冬天', '應']"
"因為脂漏性皮膚炎的關係，頭皮容易搔癢、油頭味，有時候洗完頭還是很癢，以前還以為是自己沒洗乾淨，後來才知道是皮膚炎的關係，而且用到不適合的洗髮精，所以一直很困擾！
直到今年才發現這個牌子，因為廣告打很兇，雖然官網有試用組，但很怕花大錢沒有用😆所以就跑去藥妝店買小罐的來試試看！
官網使用方法說明
第一回，以捷利爾頭皮淨化液淋上「乾的頭皮」搓揉後再沖洗
第二回，搭配艾瑪絲洗髮精使用
但我只先買了這罐淨化液來使用，之後還是搭配原本使用的洗髮精～
淨化液的瓶身有刻度，每一次使用一個刻度的量
倒出來的液體是有點黃色，","['因為', '脂漏性', '皮膚炎', '的', '關係', '頭皮', '容易', '搔癢', '油頭味', '有時候', '洗完', '頭', '還是', '很', '癢', '以前', '還', '以為', '是', '自己', '沒', '洗乾淨', '後來', '才', '知道', '是', '皮膚炎', '的', '關係', '而且', '用到', '不', '適合', '的', '洗髮精', '所以', '一直', '很', '困擾', '直到', '今年', '才', '發現', '這', '個', '牌子', '因為', '廣告', '打', '很', '兇', '雖然', '官網', '有', '試用組', '但', '很', '怕', '花', '大錢', '沒有', '用', '所以', '就', '跑去', '藥妝店', '買', '小', '罐', '的', '來', '試試', '看', '官網', '使用', '方法', '說明', '第一', '回', '以', '捷利爾', '頭皮', '淨化液', '淋上', '乾', '的', '頭皮', '搓揉', '後', '再', '沖洗', '第二', '回', '搭配', '艾瑪絲', '洗髮精', '使用', '但', '我', '只', '先', '買', '了', '這', '罐', '淨化液', '來', '使用', '之後', '還是', '搭配', '原本', '使用', '的', '洗髮精', '淨化液', '的', '瓶身', '有', '刻度', '每', '一', '次', '使用', '一', '個', '刻度', '的', '量', '倒出來', '的', '液體', '是', '有點', '黃色']"
"這款是逛賣場沒預備購入的
品牌形象看起來很新穎
這系列有三種款式
功效主打各不相同
當時猶豫要買酪梨（綠瓶）還是蘋果
因為功效我覺得都比較適合台灣氣候
防斷&蓬鬆
比較下來這款生薑蘋果味道比較甜蜜～（酪梨較清爽清香）
感覺洗起來比較幸福就選它了
另外還有蜂蜜口味的
黃瓶
（味道偏濃郁厚重，滋潤功效目前也沒有考慮）
因為常帶安全帽、帽子、太陽攻擊……
頭髮不油但卻會塌、梳整理時斷掉等情形
紅罐洗起來真的很“清爽”
濕髮狀態下摸就可以感覺頭髮變得比較乾澀、乾淨
一開始用覺得完了
吹乾後一定乾到爆炸，髮質會看起","['這', '款', '是', '逛', '賣場', '沒', '預備', '購入', '的', '品牌', '形象', '看起來', '很', '新穎', '這', '系列', '有', '三', '種', '款式', '功效', '主打', '各', '不', '相同', '當時', '猶豫', '要', '買', '酪梨', '綠瓶', '還是', '蘋果', '因為', '功效', '我', '覺得', '都', '比較', '適合', '台灣', '氣候', '防斷', '蓬鬆', '比較', '下來', '這', '款', '生薑', '蘋果', '味道', '比較', '甜', '蜜', '酪梨', '較', '清爽', '清香', '感覺', '洗起來', '比較', '幸福', '就', '選', '它', '了', '另外', '還', '有', '蜂蜜', '口味', '的', '黃瓶', '味道', '偏', '濃郁', '厚重', '滋潤', '功效', '目前', '也', '沒有', '考慮', '因為', '常', '帶', '安全', '帽', '帽子', '太陽', '攻擊', '頭髮', '不', '油', '但', '卻', '會', '塌梳', '整理', '時', '斷掉', '等', '情形', '紅罐', '洗起來', '真的', '很', '清爽', '濕髮', '狀態', '下', '摸', '就', '可以', '感覺', '頭髮', '變', '得', '比較', '乾澀', '乾淨', '一', '開始', '用', '覺得', '完', '了', '吹乾', '後', '一定', '乾', '到', '爆炸', '髮質', '會', '看起']"
"艾瑪花園是我在康是美蝦皮網站購入的，當時買一送一的時候，等於一罐９９元左右，就看到了非常多的香味，其實我也買了兩三個香味，加上今年我因為準備考取芳療師的關係，所以選了一個在精油界裡面很高級的口味ＸＤ
話說網路上蠻少人認真分享這個品牌，反正我沒有在怕踩雷～就大膽給他買下去，一次下了兩組不同的味道～就買了四瓶．．．安柏媽還以為我有用過，才會這樣大量購入～
這款是頭皮護理的洗髮精，因為一直騎摩特車上下工作室，又常常盤著頭髮，頭皮都是被悶住的，由於我的掉髮是真的蠻多的，因此在頁面看到這款高級口味的又是養護頭皮的洗","['艾瑪', '花園', '是', '我', '在', '康是美蝦皮', '網站', '購入', '的', '當時', '買', '一', '送', '一', '的', '時候', '等於', '一', '罐元', '左右', '就', '看到', '了', '非常', '多', '的', '香味', '其實', '我', '也', '買', '了', '兩三', '個', '香味', '加上', '今年', '我', '因為', '準備', '考取', '芳療師', '的', '關係', '所以', '選', '了', '一', '個', '在', '精油界', '裡面', '很', '高級', '的', '口味', '話說', '網路', '上', '蠻', '少', '人', '認真', '分享', '這', '個', '品牌', '反正', '我', '沒有', '在', '怕', '踩雷', '就', '大膽', '給', '他', '買下去', '一', '次', '下', '了', '兩', '組', '不同', '的', '味道', '就', '買', '了', '四', '瓶', '安柏媽', '還', '以為', '我', '有', '用', '過', '才', '會', '這樣', '大量', '購入', '這', '款', '是', '頭皮', '護理', '的', '洗髮精', '因為', '一直', '騎', '摩特車', '上下', '工作室', '又', '常常', '盤', '著', '頭髮', '頭皮', '都', '是', '被', '悶住', '的', '由於', '我', '的', '掉髮', '是', '真的', '蠻', '多', '的', '因此', '在', '頁面', '看到', '這', '款', '高級', '口味', '的', '又', '是', '養護', '頭皮', '的', '洗']"
"我的頭髮掉髮真的很嚴重，每天梳頭洗頭都是一撮一撮的掉，一度懷疑是不是禿頭了，結果沒有😂
試了好幾罐強健髮根和防掉髮的洗髮精，效果還是一樣。
這次雪芙蘭的新品裡有強健髮根的，當然要來試試看，搶救我的頭髮。
一開始看到主成分生薑，有點擔心味道會不會不好聞，
雪芙蘭在寶雅很貼心的設有試聞瓶，這款完全沒有薑的味道，而是很清新的草本香氣，讓我超期待洗完後的味道如何😍
我是9月初購入的，目前已經使用超過半罐。
我之前習慣用兩至三種不同牌子的洗髮精輪流使用，有的防掉髮，有的止頭皮癢，所以一罐都用很久，第一次同罐洗一個月","['我', '的', '頭髮', '掉髮', '真的', '很', '嚴重', '每', '天', '梳頭', '洗頭', '都', '是', '一', '撮', '一', '撮', '的', '掉', '一', '度', '懷疑', '是', '不', '是', '禿頭', '了', '結果', '沒有', '試', '了', '好幾', '罐', '強健', '髮根', '和', '防', '掉髮', '的', '洗髮精', '效果', '還是', '一樣', '這', '次', '雪芙蘭', '的', '新品', '裡', '有', '強健', '髮根', '的', '當然', '要', '來', '試試', '看', '搶救', '我', '的', '頭髮', '一', '開始', '看到', '主成分', '生薑', '有點', '擔心', '味道', '會不會', '不', '好聞', '雪芙蘭', '在', '寶雅', '很', '貼心', '的', '設有', '試聞瓶', '這', '款', '完全', '沒有', '薑', '的', '味道', '而是', '很', '清新', '的', '草本', '香氣', '讓', '我', '超', '期待', '洗完', '後', '的', '味道', '如何', '我', '是', '月', '初', '購入', '的', '目前', '已經', '使用', '超過', '半', '罐', '我', '之前', '習慣', '用', '兩', '至', '三', '種', '不同', '牌子', '的', '洗髮精', '輪流', '使用', '有的', '防', '掉髮', '有的', '止', '頭皮', '癢', '所以', '一', '罐', '都', '用', '很', '久', '第一', '次', '同', '罐', '洗', '一', '個', '月']"
