Topic,Count,Name,Representation,Representative_Docs
-1,599,-1_頭皮_味道_香味_髮質,"['頭皮', '味道', '香味', '髮質', '起泡', '洗頭', '乾澀', '透明', '蓬鬆', '而且', '不錯', '控油', '乾淨', '適合', '質地', '護髮', '但是', '清爽', '本身', '舒服']","['洗髮乳 共有 五 款 分別 為 五 個 顏色 做 區分 先前 只有 記錄 過 一 瓶 中間 斷斷續續 有 使用 過 但 沒有 記錄到 這 次 一 次 記錄 完畢 囉 美髮 產品 是 我 家 三 姊妹 最 愛 買 的 東西 從 我 娘家 開始 浴室 就 擺滿 了 零瑯滿目 的 產品 現在 擁有 專屬 自己 的 獨立 浴室 那 就 是 我 把 浴室 發揮 得 淋漓盡致 的 時候 了 試用品 或是 正貨 都 會 交替 使用 我 自己 除了 落健 已經 維持 使用 將近 四 年 多 的 時間 因為 洗髮 洗 兩 次 的 關係 我 第一 次 洗髮 都 會 選用 不同 品牌 也 是 使用 循環 之 一 瞬效 亮澤 去 毛燥 洗髮乳 粉色 包裝 宜人 的 香花 味質 地 為', '我 是 敏感性 頭皮 又 容易 出 油 細 軟髮 且 髮量 少 染燙 髮 髮 長 大約 肩 下 公分 左右 習慣 是 每 天 洗髮 挑選 洗髮 產品 首重 頭皮 舒適度 因此 習慣 買 新 的 髮品 嘗試 會 購入 這 產品 主要 是 因為 之前 有 機會 試用到 同 品牌 的 護色 產品 因為 護色 系列 太 好 洗 所以 看到 蝦皮 的 森歐黎漾 官方 商城 有 活動 搭配 就手 滑買單 囉 這 次 購買 的 組合 一共 有 三 瓶 包括 淨 平衡 茶樹 控油 雙效 抗 屑 洗髮乳 淨 平衡 洋甘菊 控油 洗髮精 薔薇 潤澤 洗髮精 再 加送 三 瓶 小 樣 淨 平衡 茶樹 控油 雙效 抗 屑 洗髮乳 起泡 容易 用量 省易 沖淨 使用 期間 頭皮 是 舒適 的 淨 平衡 洋甘菊 控油 洗髮精 用量', '購買 動機 對於 洗髮 產品 說 實在 的 我 沒有 任何 研究 和 特定 喜愛 以前 是 朋友 推薦 就 買來 試試 不行 就 換 牌子 也 沒有 染 燙髮 經驗 前年 開始 第一 次 嘗試 染燙 頭髮 髮型 師 交代 建議 使用 護色 洗髮精 髮色 才 會 較 持久 所以 燙完 當下 我 就 跑去 最近 的 屈臣氏 買 護色 洗髮精 當時 潘婷 這 款 被 放 在 很 顯眼 的 位置 加上 又 有 促銷 活動 外包裝 又 很 漂亮 所以 我 就 選擇 了 潘婷 使用 心得 平時 我 的 保養 方式 很 簡潔 起床 擦 油類 護髮 晚上 睡 前 擦好 吸收 的 霜狀 護髮 所以 髮質 沒有 想像 中 壞 很多 之前 一直 不 敢 染燙 就是 怕 髮質 變差 配上 使用 潘婷 護色 洗髮 和 護髮 印象 比較 深刻 的 是']"
0,853,0_頭皮_味道_香味_髮絲,"['頭皮', '味道', '香味', '髮絲', '起泡', '泡泡', '透明', '質地', '蓬鬆', '清爽', '乾澀', '控油', '乾淨', '清潔', '舒服', '沖洗', '矽靈', '打結', '但是', '泡沫']","['自從 上 次 燙直 頭髮 後 覺得 髮量 好像 真的 更少 一點 剛好 在 寶雅 社團 看到 許多 人 超 推 這 一 款 洗髮精 使用起來 有感 婷腦波弱 也 買回來 試試 含 台灣 生薑 萃取 嚴選 台灣 南投 在 地 生薑 與 強韌 豐盈 成分 能 滋養 髮根 創造 健康 豐盈 髮 強韌 豐盈 強化 髮根 咖啡因 維他命 琥珀酸 強健 髮根 及 髮絲 結構 使 秀髮 豐盈 強韌 東方 調理 七重 草本 複方積 雪草 虎杖根 黃芩根 茶葉 甘草根洋甘菊 迷迭香 能 滋養 舒緩 頭皮 維持 頭皮 健康 清爽 狀態 安心 溫和 十二大 無 添加 無 添加 矽靈 防腐劑 皂鹼 酒精 色素', '商品 資訊 專 為 油性 中性 頭皮 設計 胺基酸 界面 調理 清潔 不 含 藥 含 甘草 次酸 法國 沒 藥 精油 滋養 髮根 俄羅斯 快樂 鼠尾草 強健髮根 與 何首烏 補充 髮根 養分 讓 您 的 髮絲 更 活絡 更 蓬鬆 更 豐盈 容量 產地 台灣 包裝 設計 深綠色 的 特殊 角度 瓶身 造型 有 特色 用途 清潔 保養 頭皮 頭髮 使用 方式 第 次 使 洗髮精 快速 包覆 油污 泡沫 較少 可 於 秒 後 沖洗 乾淨 第 次 泡沫 較多 且 細用 指腹 按摩 頭皮 使 泡沫 停留 分鐘 即可 沖洗 我 的 使用 後 心得', '使用 的 是 試用 包裝 白色 長方形 塑膠 小 容量 試用 包裝 擠出 內容 為 透明 凝露狀 偏稠質 地帶 有 淡淡 清新 草 香味 個人 油性 頭皮 髮 長 及 背髮量 多 髮質 粗硬 自然 捲 有 染髮 其實 沒有 每 天 洗 隔天 才 洗 就 已經 頭癢 難耐 第一 次 洗 頭皮 很 好 起泡 但 泡沫量 不 多 頭皮 有點 些微 灼熱 不適感 再 洗 第二 次 就 起泡量 有 稍微 較多 一點 但 還是 無法 全部 洗到 髮尾 都 有 泡沫 沖洗 時 很 好 洗淨 但 髮絲 會 很 澀 有 打結 狀況 吹 整 時 頭皮 清爽 無 油味 又 蓬鬆 用 手 順到 髮 中 會 被 打結 卡住 無法 順到 髮尾 較為 乾澀 又 會 打結 變 獅子頭 很 毛躁 對 個人 來 說 是 款 偏 清爽感 的 洗髮乳 因 沒有 掉髮 及 稀疏']"
1,177,1_頭皮_頭皮屑_洗頭_髮質,"['頭皮', '頭皮屑', '洗頭', '髮質', '隔天', '控油', '醫生', '困擾', '目前', '止癢', '夏天', '狀況', '油性', '蓬鬆', '髮尾', '嚴重', '但是', '扁塌', '之後', '敏感']","['先 來 說明 一下 我 自身 髮質 狀況 屬 會 出油 的 細軟髮 蓄長髮 目前 剪短 了 一些 長度 大概 肩 下 公分 每 天 都 會 洗頭 沒有 頭皮屑 問題 但 每 天 都 需要 換 洗髮精 如果 連續 兩 天 用 同 一 瓶 洗淨力 會 大幅 下降 隔天 頭皮 超 快 約 起床 就 出 油 我 也 不 知道 我 的 髮質 有 啥 毛病 有 漂過 年次 染 過 年 陸續 染 過 次 目前 只有 髮尾 比較 毛糙 它 沒有 很 明顯 讓 人 主觀 覺得 很 香 的 香味 但 也 不 討厭 這 個 氣味 淡淡 的 香味 可以 持續 到 隔天 下午 在 網路 上 被 燒到 看 大家 都 說 好用 所以 想 買來 試試 我 是 在 元 買 一 送 一 的 時候 購買 想 嘗鮮 的 人 我 覺得', '先 來 說明 一下 我 自身 髮質 狀況 屬 會 出油 的 細軟髮 蓄長髮 目前 剪短 了 一些 長度 大概 肩 下 公分 每 天 都 會 洗頭 沒有 頭皮屑 問題 但 每 天 都 需要 換 洗髮精 如果 連續 兩 天 用 同 一 瓶 洗淨力 會 大幅 下降 隔天 頭皮 超 快 約 起床 就 出 油 我 也 不 知道 我 的 髮質 有 啥 毛病 有 漂過 年次 染 過 年 陸續 染 過 次 目前 只有 髮尾 比較 毛糙 我 個人 超 喜歡 這 瓶 的 香味 香味 可以 持續 到 隔天 下午 一直 都 有 使用 這 個 品牌 的 洗髮精 而且 最近 發現出 了 好多 新 系列 跟 新 的 香味 我 是 在 特價 時 購入 好像 才 元 左右 想 嘗 鮮 的 人 我 覺得 可', '先 來 說明 一下 我 自身 髮質 狀況 屬 會 出 油 的 細軟髮 蓄長髮 長度 約及 腰 每 天 都 會 洗頭 沒有 頭皮屑 問題 但 每 天 都 需要 換 洗髮精 如果 連續 兩 天 用 同 一 瓶 洗淨力 會 大幅 下降 隔天 頭皮 超 快 約 起床 就 出 油 我 也 不 知道 我 的 髮質 有 啥 毛病 有 漂過 年次 染 過 年 陸續 染 過 次 目前 只有 髮尾 比較 毛糙 質地 就是 透明 洗髮精 我 蠻 喜歡 它 的 香味 晚上 洗完 她 的 香味 可以 持續 到 隔天 早上 起床 左右 洗完 有 洗淨感 但 對 我 來 說 有點 過於 乾澀 不 是 說好 主打 溫和 潔淨 嗎 至於 修護 能力 我 是 覺得 它 本身 沒有 明顯 的 柔順 效果 增加 光澤 也']"
2,139,2_包裝_當時_容量_發現,"['包裝', '當時', '容量', '發現', '自己', '網路', '購入', '便宜', '價格', '紫瓶', '味道', '紙盒', '後來', '成分', '這樣', '大家', '其實', '來源', '這麼', '質感']","['真的 沒 發現 老 東西 原來 這麼 好用 金美克 能 洗髮 粉絲 比 聽說 最近 才 改版 新 包裝 不錯 雖然 會 浪費 油墨 但 不 小心 丟掉 紙盒 還是 可以 看出 本體 是 甚麼 這 一 點 我 喜歡 我 也 希望 紙盒 上面 有 個 貼紙 可以 貼好 盒子 讓 他 不 輕易 被 打開 就 好了 所謂 人類 就 是 這麼 矛盾 的 生物 元凶 是 過敏 又 過油 的 頭皮 還 有 手 時 不時 下雪 就 算了 又 癢 真心 煩死 個人 在 本人 肉腳 肉掌 終於 撐 不 住 才 去 附近 的 大 賣場 來 個 久違 的 購物 一 眼 瞄到 這 盒 洗髮粉 一 盒 元 包恩 價格 過關 原本 就 在 到處 打聽 看到 有 網友 提 過 洗髮粉 成分 單純 加上 產地 寫 台灣 就 毫不 猶豫 地 購入 啦', '第二 次 接觸 的 產品 為 捷利爾 頭皮 淨化液 是 綠色 塑膠 包裝 的 瓶身 不 是 一般 的 壓嘴 是 尖尖 的 瓶口 很 利於 直接 擠 在 頭皮 上面 操作 方面 真的 是 輕鬆 駕馭 啦 側邊 有 一 格 一 格 的 設計 每 次 使用量 就 是 需要 一 格 所以 一 瓶 大概 用 個 幾 次 就 沒有 了 倒 在 頭皮 上 之後 可 用 指腹 大概 在 頭皮 上面 搓揉 一下 我 自己 大概 秒 左右 吧 再 添加 一些 水分 在 頭髮 上 在 繼續 按照 正常 洗髮 流程 一樣 起泡 效果 非常 的 優 在 使用 的 過程 之中 會 有 種 清涼 感受 大概 是 我 使用 涼感 洗髮精 裡面 最 涼 的 產品 了 超級 省腦 的 產品 不宜 停留 太 久 頭', '今年 年初 看到 我 妹 買 了 產品 第一 次 接觸 的 產品 為 捷利爾 頭皮 淨化液 是 紅色 塑膠 包裝 的 瓶身 不 是 一般 的 壓嘴 是 尖尖 的 瓶口 很 利於 直接 擠 在 頭皮 上面 操作 方面 真的 是 輕鬆 駕馭 啦 側邊 有 一 格 一 格 的 設計 每 次 使用量 就 是 需要 一 格 所以 一 瓶 大概 用 個 幾 次 就 沒有 了 倒 在 頭皮 上 之後 可 用 指腹 大概 在 頭皮 上面 搓揉 一下 我 自己 大概 秒 左右 吧 再 添加 一些 水分 在 頭髮 上 在 繼續 按照 正常 洗髮 流程 一樣 起泡 效果 非常 的 優 在 使用 的 過程 之中 會 有 種 清涼 感受 大概 是 我 使用 涼感 洗髮精 裡面 最 涼 的 產品 了 超級']"
3,130,3_卡詩_掉髮_落髮_自己,"['卡詩', '掉髮', '落髮', '自己', '頭皮', '巴黎 卡詩', '巴黎', '大豆', '頭皮 淨化液', '胚芽', '淨化液', '髮質', '大豆 胚芽', '保養', '活動', '護色', '嚴重', '針對', '狀況', '困擾']","['知名 開架 美髮 品牌 海倫仙度絲 推出 全新 的 訂製 去屑 系列 將 頭皮屑 分成 輕度 中度 重度 三 個 等級 根據 不同 程度 對抗 頭皮 問題 綠色 瓶身 是 針對 嚴重 頭皮屑 使用 的 科研 去屑 洗髮露 瞬效 止癢 型 號稱 真人 測試 臨床 證明 三 週 見效 無 添加 矽靈 專業 研發 高活性 去 屑 抵禦 因子 添加 玻尿酸 薄荷醇 尤加利葉 萃取液 容量 有點 小 適合 乾性 頭皮 洗完 頭 常常 有 頭皮屑 和 頭癢 困擾 者 或是 擔心 這 類 清潔劑 對 皮膚 太 刺激 想 嘗鮮 又 怕 不 好用 的 人 保存 期限 三 年 很 夠用 可 每 天 使用 建議 頭 要 洗 兩 次 第一 次 先 將 頭髮 沾溼 以 少許 洗髮精 將 表層 髒污 洗淨 第二', '這 次 很 榮幸 獲 邀 參加 巴黎 卡詩 超能 不落粉漾芯生 體驗會 活動 這 次 活動 地點 在 萊雅 學院 一 到 會場 先 量 額溫 酒精 消毒 填寫 實名制 資料 落實 防疫 措施 感謝 主辦 單位 的 用心 讓 每 位 參加 者 放心 參與 這 次 的 活動 巴黎 卡詩粉漾芯生 系列 的 誕生 主要 針對 歲 以下 扁塌 稀疏髮 女性 所 打造 的 產品 全 系列 產品 價格 如 上 圖 由於 現代人 的 壓力 大 生活 作息 不 正 常常 染髮 燙髮 飲食 偏好 油炸 喜愛 甜食 造成 提早 就 要 面對 頭皮 老化 問題 因此 我們 除了 保養 臉部 肌膚 頭皮 肌膚 也 要 兼顧 提早 保養 並 選擇 合適 的 產品 才 是 解決之道 減少 落髮 提升 秀髮', '這 次 應邀到 參加 巴黎 卡詩 堅守 防線 激能 新生 秀髮 濃密 瞬 豐盈 體驗會 感到 十分 榮幸 經過 這 次 體驗 能 感受 巴黎 卡詩 的 專業 及 用心 難怪 能 打造出 獲得 專利 的 頂級 頭髮 養護 產品 本人 一直 深受 頭髮 稀疏 髮質 細軟 困擾 尤其 是 黏膩 悶熱 的 夏天 出汗 容易 讓 頭髮 看起來 更 扁塌 而 這 次 體驗會 請到 巴黎 卡詩 的 講師 為 與會 的 大家 進行 頭髮 問題 解惑 及 檢測 他 的 專業 解析 與 經驗 分享 讓 我們 學到 不少 養護 秀髮 的 知識 搭配 巴黎 卡詩 的 髮浴 跟 頭皮 調理 精華 相信 絕對 會 讓 頭髮 大軍 逐日 茁壯 起來 的 體驗會 的 筆記 我 會 附 在 粉漾 芯生 調理 精華']"
4,35,4_生薑_蘋果_生薑 蘋果_防斷,"['生薑', '蘋果', '生薑 蘋果', '防斷', '薑味', '奇異果', '薑汁', '蘋果味', '蘋果 味道', '味道', '強韌', '味道 蘋果', '反而', '蘋果 香味', '蘋果 生薑', '生薑 味道', '生薑 強韌', '掉髮', '蘋果 防斷', '蘋果 修護']","['年輕 時 擁有 一 頭 健康 的 秀髮 捨不得 剪 近 一 年 則 是 梳理 頭髮 時 出現 較 短 斷髮 考慮 是否 要 剪 短髮 時 雪芙蘭 適時 送來 養護 洗髮精 非常 感謝 期待 生薑 強韌 洗髮精 呵護 後 幫助 髮絲 健康 按壓 一 次 在 掌心 的 洗髮精 散發出 新鮮 薑汁 的 清新 是 少 了 辛辣味 的 活力 暖香 成分 中 有 南投 生薑 及 積雪草 虎杖根 黃芩根 等 草本 複方 協同 滋養 頭皮 強韌 髮絲 洗髮 時 薑 的 清香 揉合 了 甜香 令 我 想起 暖心 的 熱 紅酒 香料 使用 後 髮絲 留下 淡雅 香氣 上圖 為 洗髮 後 吹 整 過 的 髮絲 不僅 柔亮 使用 日 有 感受到 短 斷髮 變少 但 梳髮 時 長髮絲 掉落量 依舊 希望 持續 使用 能 有 改善 下圖 為 使', '這 是 在 寶雅 逛街 看到 的 主打 生薑 防斷 配方 強韌 防斷 改善 頭髮 因為 乾燥 而 掉髮 蘋果 修護 配方 泡沫 很 順滑 濃密 豐盈 啊 源於 天然 的 潔淨 成份 溫和 淨化 頭皮 與 髮絲 無 添加 矽靈 防腐劑 礦物油 滑石粉 游離 甲醛 石蠟 橘紅色 半 透明質 地 一 倒出來 是 我 喜歡 的 蘋果 香味 一定 要 搭配 同 款 護髮素 這樣 洗完 頭髮 立刻 柔 順亮 如果 沒有 搭配 同 款 護髮素 髮質 會 很 很 出粗 色 澀 唷 最最 最 厲害 最最最 值得 推薦 的 是 我 到 頭髮 通常 到 下午 就 容易 出油 瀏海 油膩感 是 一 絲 一 絲 的 很 煩 還 有 每 天 洗完 頭髮 就是 很 愛 掉 髮 雖說 每 天 掉', '年月 在 屈臣氏 購買 小 包裝 髪 的 食譜盒 特價元 洗髮 潤髮 各 瓶 生薑 防斷 配方 強韌 防斷 改善 頭髮 損傷 蘋果 修護 配方 深入 滋養 及 鎖水 順滑 修護 維生 素原 配方 減少 頭皮 氧化 舒活 頭皮 抗 氧化 氨基酸 配方 減少 秀髮 氧化 損傷 生薑 蘋果 防斷 修護 洗髮露 亮橘色 的 膠狀 質地 香甜 的 蘋果 味道 流動性 低起泡 容易 泡沫 沒有 很多 無 添加 矽靈 防腐劑 礦物油 滑石粉 游離 甲醛 頭皮 與 髮絲 洗 得 很 乾淨 頭髮 滑順 膨鬆 但 有 一點 乾 後續 需要 潤髮 或 護髮 比較 好 生薑 蘋果 防斷修']"
5,21,5_柚子_綠茶_綠茶 柚子_淨油,"['柚子', '綠茶', '綠茶 柚子', '淨油', '清爽 保濕', '淨油 保濕', '柚子 淨油', '柚子 味道', '柑橘', '柚子 清爽', '味道', '成是', '日本 柚子', '保濕', '淡淡', '小勳', '保濕 水感', '清爽', '體驗 綠茶', '止癢液']","['之前 用 過 了 另 一 款 綠茶 柚子 淨油 保濕水 感洗 髮露 就 還 滿 喜歡 的 了 用完 後 就 改開 這 罐 奇異果 無花果 的 來 試試 味道 不 像 奇異果 但 我 個 還 滿 喜歡 的 一樣 好 搓揉 起泡 用量 也 不用 太多 就 足夠 使用 全頭 洗完 後 也 很 好 沖淨 滑順 上面 寫 著 主打 的 是 去 油 和 豐盈 剛 好 很 適合 我 易 出 油 以及 細軟 容易 扁塌 的 髮況 洗完 吹完 頭髮 後 真的 會 比較 蓬鬆 豐盈 雖然 不可能 隔天 流汗 出 油 後 還 維持 一 整 天 但 對於 平常 隔天 頭髮 很 容易 睡醒 出門 沒 多久 就 扁塌 的 我 來 講 覺得 維持 蓬鬆 的 狀態 還 算 不錯 比起 綠茶 柚子 那 款 來 講 這 款 我 覺得 更 適合 我 這樣 細軟 髮 而且 容易 出 油 扁塌 的', '夏天 就 是 要 清爽 控油 但是 還要 符合 我 雞歪 的 要求 成分 不能 含有 清潔力 太 強 的 它們 會 讓 我 頭皮 敏感 發癢 它 的 成分 訴求 可以 友善 環境 住在 鄉下 的 我 對於 環境 保護 很 有 感 這 也 是 我 選擇 產品 的 考量 之 一 它 的 味道 不 是 誇張 的 柑橘 香 料味 像是 過年 家 裡 一 堆 橘子 吃 不 完 結果 橘子 放到 過熟 散發出來 的 甜味 順帶 介紹 另 一 個 同 系列 但是 沒 建檔 的 尤 加利 薄荷 舒暢 洗頭水 味道 也 很 舒服 清涼 帶 點 檸檬 的 薄荷味 夏天 用 真的 很 爽 兩 個 產品 按摩 起泡 都 非常 容易 唯一 要 注意 的 是 水狀質 地 容易 從 指縫 留出來 用量 也 不 好 拿捏', '謝謝 與 給予 的 試用 機會 主要 介紹 摘 自 通路 日本 髮 的 食譜髮 的 料理 綠茶 柚子 洗髮露 全 網 熱銷 天然 食材 頭皮 養護 概念 為 不同 頭皮 和 髮質 量 身 訂做 綠茶 柚子 清爽 頭皮 水潤髮絲 清爽 保濕 油性 頭皮 乾枯髮 無 礦物油 無 矽靈 無 防腐劑 冷萃感 的 綠茶 與 柚子 精華 頭皮 清涼 舒爽 頭皮 感受 冷萃 般 微 涼感 仿佛 享受 冷萃 綠茶 調節 水油 平衡 感親油 親水 成分 淨油 保濕 養出水感 秀髮 添加 綠茶 柚子 精華 讓 髮絲 水潤亮澤 洗護 雙重 功效 淨油 配方 調']"
6,11,6_齊腰 長髮_只要 飄逸_第二 不論_經驗 冬天,"['齊腰 長髮', '只要 飄逸', '第二 不論', '經驗 冬天', '長髮 或是', '不同 時尚', '不論 齊腰', '風情', '短髮 不同', '的確 第二', '齊腰', '風情 俏麗', '隔天 大家', '飄逸 秀髮', '時尚 風格', '女孩 追求', '如果 稱不上', '風格 女孩', '俏麗 短髮', '俏麗']","['有 人 說 女人 如果 稱不上 花容月貌 只要 擁有 一 頭 飄逸 秀髮 就 能 穩 坐 背影 殺手 的 寶座 的確 頭髮 是 女人 的 第二 張 臉 不論 是 齊腰 如 瀑 的 長髮 或是 風情 俏麗 的 短髮 都 能 呈現出 不同 的 時尚 風格 也許 有 很多 女孩 跟 我 一樣 志在 追求 蓬鬆 的 頭髮 尋覓 著 蜜糖 洗潤 護髮 用品 先 介紹 自己 的 頭皮 髮質 狀況 髮質 不 軟 不 粗介 於 中間 有 染 過 頭皮 一 天 不 洗頭 隔天 絕對 油 不 知道 大家 有 沒 有 一 個 經驗 在 冬天 還好 每每 在 夏天 洗完 頭 後 感覺 頭皮 還是 有 一 股 頭皮味 感覺 頭皮 有 一 層 垢 我 就 是 這 種 人 啊 這 次 來 介紹', '有 人 說 女人 如果 稱不上 花容月貌 只要 擁有 一 頭 飄逸 秀髮 就 能 穩 坐 背影 殺手 的 寶座 的確 頭髮 是 女人 的 第二 張 臉 不論 是 齊腰 如 瀑 的 長髮 或是 風情 俏麗 的 短髮 都 能 呈現出 不同 的 時尚 風格 也許 有 很多 女孩 跟 我 一樣 志在 追求 蓬鬆 的 頭髮 尋覓 著 蜜糖 洗潤 護髮 用品 先 介紹 自己 的 頭皮 髮質 狀況 髮質 不 軟 不 粗介 於 中間 有 染 過 頭皮 一 天 不 洗頭 隔天 絕對 油 不 知道 大家 有 沒 有 一 個 經驗 在 冬天 還好 每每 在 夏天 洗完 頭 後 感覺 頭皮 還是 有 一 股 頭皮味 感覺 頭皮 有 一 層 垢 我 就 是 這 種 人 啊 這 次 來 介紹', '有 人 說 女人 如果 稱不上 花容月貌 只要 擁有 一 頭 飄逸 秀髮 就 能 穩 坐 背影 殺手 的 寶座 的確 頭髮 是 女人 的 第二 張 臉 不論 是 齊腰 如 瀑 的 長髮 或是 風情 俏麗 的 短髮 都 能 呈現出 不同 的 時尚 風格 也許 有 很多 女孩 跟 我 一樣 志在 追求 蓬鬆 的 頭髮 尋覓 著 蜜糖 洗潤 護髮 用品 先 介紹 自己 的 頭皮 髮質 狀況 髮質 不 軟 不 粗介 於 中間 有 染 過 頭皮 一 天 不 洗頭 隔天 絕對 油 不 知道 大家 有 沒 有 一 個 經驗 在 冬天 還好 每每 在 夏天 洗完 頭 後 感覺 頭皮 還是 有 一 股 頭皮味 感覺 頭皮 有 一 層 垢 我 就 是 這 種 人 啊 這 次 來 介紹 薄']"
7,11,7_天性_本性_花錢 本性_天性 花錢,"['天性', '本性', '花錢 本性', '天性 花錢', '本性 嘗鮮', '愛美', '愛美 天性', '花錢', '偏油 黏膩感', '油膩感 不能', '黏膩感 油膩感', '嘗鮮 自己', '接受 龜毛', '自己 混合', '混合 偏油', '龜毛', '黏膩感', '不能 接受', '嘗鮮', '混合']","['愛美 是 女人 的 天性 愛 花錢 是 我 的 本性 什麼 都 愛 嘗鮮 所以 什麼 都 買 因為 自己 是 混合 偏油 所以 對 黏膩感 油膩感 非常 不能 接受 龜毛 的 我 花王 花王 洗髮精 清新 沁涼型 正品 其實 這 是 我 老公 在 用 的 只是 我 偶爾 會 給 它 用 一下 然後 我 真的 覺得 它 非常 的 普通 不過 我 用起來 就 是 頭髮 會 澀澀 的 說 是 沁涼 但 一點點 的 感覺 都 沒有 但是 但是 呢 就 是 非常 之 便宜 就是了 好像 不到 一百 摳 謝謝', '愛美 是 女人 的 天性 愛 花錢 是 我 的 本性 什麼 都 愛 嘗鮮 所以 什麼 都 買 因為 自己 是 混合 偏油 所以 對 黏膩感 油膩感 非常 不能 接受 龜毛 的 我 明洞 國際 魚鱗 膠原 蛋白 洗髮精 養髮 正品 我 忘記 好像 是 有 什麼 活動 了 反正 我 就是 買 了 一 堆 然後 不到 一千 塊 我 記得 我 去 超商 搬 的 時候 差點 搬 不 回來 太 重 了 然後 這 瓶 的 瓶子 直接 被 我 丟掉 因為 我 對 它 感受 太 不 好 了 雖然 它 不會 讓 我 頭髮 澀澀 的 也 很 好 洗 很 好 沖 但 就是 味道 太 臭 了 啦 我 每 次 洗 它 都 要 憋氣 然後 洗完 之後 再 拿 別', '愛美 是 女人 的 天性 愛 花錢 是 我 的 本性 什麼 都 愛 嘗鮮 所以 什麼 都 買 因為 自己 是 混合 偏油 所以 對 黏膩感 油膩感 非常 不能 接受 龜毛 的 我 髪 料理 奇異果 清爽 營養 洗髮露 正品 其實 這 是 在 社團 問 人家 推薦 的 那 時候 也 不 知道 為什麼 很 紅 所以 就 買 了 一 瓶 回來 用 看看 我 是 覺得 味道 有 種 甜膩感 可能 我 平常 不 喜歡 聞 這 個 甜甜 的 味道 所以 我 覺得 蠻 膩 的 而且 當初 買 的 時候 其實 價格 不 便宜 呢 不要 拿 專櫃 那 個 比 的話 沖洗 的 時候 會 覺得 頭髮 乾乾澀澀 的 所以 我']"
8,10,8_雪芙蘭_養護_雪芙蘭 養護_金萱 控油,"['雪芙蘭', '養護', '雪芙蘭 養護', '金萱 控油', '雪芙蘭 印象', '金萱', '養護 金萱', '規格', '仍然', '關愛 台灣', '重點 台灣', '上市 日期', '台灣 支持', '製造 希望', '台灣 植萃', '銷售 通路', '防曬', '關愛', '日期', '防曬品']","['感謝 雪芙蘭 和 讓 我 有 機會 試用 這麼 好 的 產品 本 次 試用 商品 資料 品牌 雪芙蘭 品名 養護 洗髮 精 生薑 強韌 正品 規格 即 本 次 試用 規格 正品 售價 銷售 通路 寶雅 獨家 首 買 三 個 月 上市 日期 試用 天期 天整 品牌 介紹 看 了 一下 是 用 資料 說明 才 知道 雪芙蘭 已經 深耕年 並且 是 堅持 台灣 製造 的 品牌 真的 很 不 容易 希望 雪芙蘭 繼續 給 消費者 優秀 的 產品 產品 重點 台灣 植萃 關愛 台灣 支持 在地 弱酸性 潔淨', '沉浸 在 大自然 香氣 的 本土 養護 洗髮精 好 開心 啊 距離 上 次 抽到 體驗品 不到 一 個 月 幸運 的 我 又 被 小編 選中 啦 灑花 轉 圈 相信 大家 都 聽過 雪芙蘭 吧 在 地 深耕年 的 老字號 品牌 堅持 台灣 製造 希望 使用到 產品 的 每 一 個 人 享受到 貼心 的 產品 合理 的 價格 優秀 的 品質 與 服務 這 次 很 榮幸 收到 未 上市 就 體驗到 的 雪芙蘭 養護 洗髮精 主打 以下 個 產品 重點 台灣 植萃 關愛 台灣 支持 在地 弱酸性 潔淨 配方 親膚 溫和 不 刺激 頭皮 七重 東方 植物 精華積 雪草 虎杖根 黃芩根 茶葉 甘草根 洋甘菊 迷迭香 持續 調理 能 使 秀髮 亮麗 健康', '對 雪芙蘭 比較 有 印象 的 是 乳液 及 防曬 尤其 身體 防曬 也 買 過 不少 次 一直 覺得 它們 家 的 商品 是 平價 好 選擇 有 一定 品質 因此 也 很 期待 洗髮精 的 試用 以 強韌 髮絲 為主 訴求 的 養護 洗髮精 外 包裝 是 深 咖啡 中規 中矩 的 樸實感 裡面 添加 的 都 是 健康 髮絲 的 成分 強調 沒有 矽靈 酒精 塑化劑 等等 的 有害 物質 令 人 安心 的 成分表 幾近 透明帶 一點點 的 黃起 泡度 適中 使用 於 頭髮 是 比較 細緻 的 泡沫 味道 淡淡 的 很 舒服 有點 草本 加 花香 先 說 一下 本身 髮質 有 染燙 不 太 出 油 髮量 多 偏 粗硬髮 習慣 是 天洗 一 次 頭 期間 使用 此 產品 次 蠻 喜歡 的 不會 覺得 與 日常 用']"
