評論,tokens
"我的頭髮很多，而且不是那種很容易出油的髮質
所以基本上不太挑洗髮精
但不知道是不是今年天氣的關係，還是真的用到不適合的洗髮精
近期每次出門（ 無論上班、出遊 ）戴完安全帽頭髮都會又油又扁吃困擾 (；´Д｀)
這次用了巴黎小姐的「 獸首孔雀控油洗髮精 」+「 獸首孔雀免沖洗護髮素 」直接愛上！再度還我蓬鬆髮絲
一開始有點擔心控油洗髮精會不會很乾澀 'ㅅ'
不過巴黎小姐的「 控油洗髮精 」有添加薰衣草、生薑等草本精華以及咖啡因養髮精華
不僅可以平衡頭皮油脂，還能夠改善髮根強韌度，使用完頭皮超蓬鬆！
最重要的是","['髮質', '基本', '今年', '天氣', '關係', '用到', '適合', '近期', '出門', '上班', '出遊', '戴完', '安全帽', '困擾', '巴黎', '小姐', '獸首', '孔雀', '控油', '獸首', '孔雀', '沖洗', '護髮素', '直接', '愛上', '再度', '蓬鬆', '髮絲', '擔心', '控油', '會不會', '乾澀', '巴黎', '小姐', '控油', '添加', '薰衣草', '生薑', '草本', '精華', '咖啡因', '精華', '平衡', '頭皮', '油脂', '能夠', '改善', '髮根', '強韌度', '使用完', '頭皮', '超蓬鬆', '重要']"
"去年9月所採購的洗髮品們，陸陸續續的使用，也即將用光光了～
（因為＂不會＂再回購，所以在這個空位寫一下我的心得囉！）
之前用過同品牌＜九蒸九曝髮翳淨髮精華露＞使用感受非常之好！(*Ő౪Ő*)
[古寶無患子] 九蒸九曝髮翳淨髮精華露
所以趁當時的檔期活動＂特價$219，加一元多一件＂，回購又順便購入這一款～控油的囉！
其實我並沒有頭皮屑的困擾～(〃ω〃)
但很多控油的產品都是這樣↓控油又抗屑的？！（我覺得很．．．）
包裝上有很多的中藥材料的本人照↑
事實上產品說明中～也有不少的中藥名稱！
這一款雖然說適合一","['去年', '9月', '採購', '洗髮品', '陸陸續續', '即將', '用光光', '回購', '空位', '用過', '淨髮', '精華露', '感受', '古寶無患子', '淨髮', '精華露', '當時', '檔期', '活動', '特價', '順便', '購入', '控油', '其實', '頭皮屑', '困擾', '控油', '這樣', '控油', '包裝', '中藥', '材料', '事實', '說明', '中藥', '名稱', '適合']"
"跟姊妹一起觀望一陣子，終於一起購入AVEDA洗髮精
以前對洗髮這塊比較沒那麼重視
總是以香味來選擇洗髮品
並懷疑高價位洗髮品真的有差?不就洗頭而已
用過才真的知道它的美好haha
成分真的很重要哦
之前去日本玩買了起泡盒
不管任何清潔產品，只要使用這個盒子就會有很濃密的泡泡❤
現在洗頭已經離不開要濃厚泡泡了
我覺得AVEDA這罐單純用手戳泡泡比較沒那麼濃密
草本的味道很清新
使用起泡盒它可以達到這樣子↑  不會掉下來
瓶身簡潔沒有過多華麗感
瓶口處有品牌刻紋
我買的是250ml
幾乎每天洗頭
這容量其實用","['姊妹', '一起', '觀望', '一陣子', '終於', '一起', '購入', '那麼', '重視', '總是', '香味', '選擇', '洗髮品', '懷疑', '高價位', '洗髮品', '差不', '洗頭', '美好', 'haha', '成分', '重要', '日本', '起泡盒', '清潔', '盒子', '濃密', '泡泡', '現在', '洗頭', '已經', '濃厚', '泡泡', '單純', '泡泡', '那麼', '濃密', '草本', '味道', '清新', '起泡盒', '達到', '這樣子', '掉下來', '瓶身', '簡潔', '過多', '華麗感', '瓶口', '刻紋', '洗頭', '容量', '其實']"
"每次洗完一瓶洗髮精都會換品牌，
這個牌子是因為聽了podcast節目而認識的品牌，
雖然這個洗髮精很雷，但我還是很愛那個podcast，
去藥妝店，剛好在架上看到它，當時心得少，想說看起來好像不錯用，就買了，
但是，第一天，只洗一次，晚上超痛苦，頭皮很癢，有種被悶住的感覺，
第二次使用洗兩次，好多了，但是隔天有時候頭皮偶而還是會癢，會有頭皮屑，
我第一次遇到如此讓我想趕快洗頭的洗髮精，雖然不會有很明顯的油頭味，
（用過隔天最明顯有油頭味是☞阿葵亞淨水賦活控油）
我很苦惱，只好去買新的一瓶洗髮精這樣互相搭配","['牌子', '節目', '認識', '藥妝店', '當時', '看起來', '好像', '不錯', '晚上', '痛苦', '頭皮', '悶住', '多了', '隔天', '有時候', '頭皮', '偶而', '頭皮屑', '遇到', '如此', '趕快', '洗頭', '明顯', '油頭味', '用過', '隔天', '明顯', '油頭味', '阿葵亞', '淨水', '賦活', '控油', '苦惱', '只好', '這樣', '互相', '搭配']"
"最近半年對頭髮的狀態實在是有點困擾
本來就是細軟髮的髮質
又因為冬季防冷戴各式帽子
脫下後就處於扁塌狀態
或是容易因為悶著而出油變頻繁
然後最讓我憂心的是兩側額頭處的髮際線似乎有點越來越高😭
某天在社群滑來滑去被廣告吸引了這瓶
Dr.Ran雞蛋洗髮精
盒子與瓶身設計風格簡約韓風
主要成分就是雞蛋
雞蛋的卵黃含有70%與頭皮蛋白質相似的蛋白質
並含有促進毛髮健康的卵磷脂
能快速的緩解脫髮問題
我大概就是被這句話深深吸引的XD
帶點黑的透明洗髮精質地
淡雅類果香的味道
起泡蠻容易，我大概都按壓3-4次 的洗髮","['最近', '狀態', '實在', '困擾', '本來', '軟髮', '髮質', '冬季', '防冷', '帽子', '脫下', '處於', '扁塌', '狀態', '悶著', '頻繁', '然後', '憂心', '額頭', '髮際線', '似乎', '越來越', '社群', '滑來滑去', '廣告', '吸引', 'DrRan', '雞蛋', '盒子', '瓶身', '設計', '風格', '簡約', '韓風', '主要', '成分', '雞蛋', '雞蛋', '卵黃', '含有', '頭皮', '蛋白質', '相似', '蛋白質', '含有', '促進', '毛髮', '健康', '卵磷脂', '快速', '緩解', '脫髮', '大概', '深深', '吸引', '透明', '質地', '淡雅', '果香', '味道', '起泡', '大概', '按壓']"
"當初在FB看到Sandy推薦，腦波弱就買下去了
購買的是當時廣告推薦的三冠王組-水漾薔薇+淨平衡控油+茶樹抗屑洗髮精
還有加購水漾薔薇＋淨平衡護髮素
貪心如我，我一次把三罐洗髮精跟兩款護髮素打開放在浴室
每天根據頭髮狀況跟心情選妃使用
-------------------------------------------------------
我的頭皮偏油性，基本上兩天洗一次頭（對，我懶）
淨平衡控油、茶樹抗屑洗髮精這兩罐我都很喜歡
但就不喜歡水漾薔薇這款
水漾薔薇是屬於保濕款的洗髮精
原本覺得在冬天應","['當初', 'FB', 'Sandy', '推薦', '腦波弱', '買下去', '購買', '當時', '廣告', '推薦', '三冠王組', '水漾', '薔薇', '平衡', '控油', '茶樹', '加購', '水漾', '薔薇', '平衡', '護髮素', '貪心', '護髮素', '浴室', '狀況', '心情', '選妃', '頭皮', '偏油性', '基本', '懶淨', '平衡', '控油', '茶樹', '水漾', '薔薇', '水漾', '薔薇', '保濕款', '原本', '冬天']"
"因為脂漏性皮膚炎的關係，頭皮容易搔癢、油頭味，有時候洗完頭還是很癢，以前還以為是自己沒洗乾淨，後來才知道是皮膚炎的關係，而且用到不適合的洗髮精，所以一直很困擾！
直到今年才發現這個牌子，因為廣告打很兇，雖然官網有試用組，但很怕花大錢沒有用😆所以就跑去藥妝店買小罐的來試試看！
官網使用方法說明
第一回，以捷利爾頭皮淨化液淋上「乾的頭皮」搓揉後再沖洗
第二回，搭配艾瑪絲洗髮精使用
但我只先買了這罐淨化液來使用，之後還是搭配原本使用的洗髮精～
淨化液的瓶身有刻度，每一次使用一個刻度的量
倒出來的液體是有點黃色，","['脂漏性', '皮膚炎', '關係', '頭皮', '搔癢', '油頭味', '有時候', '洗乾淨', '後來', '皮膚炎', '關係', '用到', '適合', '困擾', '今年', '發現', '牌子', '廣告', '官網', '試用組', '大錢', '跑去', '藥妝店', '官網', '方法', '說明', '捷利爾', '頭皮', '淨化液', '淋上', '頭皮', '搓揉', '沖洗', '搭配', '淨化液', '搭配', '原本', '淨化液', '瓶身', '刻度', '刻度', '倒出來', '液體', '黃色']"
"這款是逛賣場沒預備購入的
品牌形象看起來很新穎
這系列有三種款式
功效主打各不相同
當時猶豫要買酪梨（綠瓶）還是蘋果
因為功效我覺得都比較適合台灣氣候
防斷&蓬鬆
比較下來這款生薑蘋果味道比較甜蜜～（酪梨較清爽清香）
感覺洗起來比較幸福就選它了
另外還有蜂蜜口味的
黃瓶
（味道偏濃郁厚重，滋潤功效目前也沒有考慮）
因為常帶安全帽、帽子、太陽攻擊……
頭髮不油但卻會塌、梳整理時斷掉等情形
紅罐洗起來真的很“清爽”
濕髮狀態下摸就可以感覺頭髮變得比較乾澀、乾淨
一開始用覺得完了
吹乾後一定乾到爆炸，髮質會看起","['賣場', '預備', '購入', '形象', '看起來', '新穎', '款式', '功效', '相同', '當時', '猶豫', '酪梨', '綠瓶', '蘋果', '功效', '適合', '台灣', '氣候', '防斷', '蓬鬆', '生薑', '蘋果', '味道', '酪梨', '清爽', '清香', '幸福', '蜂蜜', '口味', '黃瓶', '味道', '濃郁', '厚重', '滋潤', '功效', '目前', '考慮', '安全', '帽子', '太陽', '攻擊', '塌梳', '整理', '斷掉', '情形', '紅罐', '清爽', '濕髮', '狀態', '乾澀', '乾淨', '吹乾', '一定', '爆炸', '髮質', '看起']"
"艾瑪花園是我在康是美蝦皮網站購入的，當時買一送一的時候，等於一罐９９元左右，就看到了非常多的香味，其實我也買了兩三個香味，加上今年我因為準備考取芳療師的關係，所以選了一個在精油界裡面很高級的口味ＸＤ
話說網路上蠻少人認真分享這個品牌，反正我沒有在怕踩雷～就大膽給他買下去，一次下了兩組不同的味道～就買了四瓶．．．安柏媽還以為我有用過，才會這樣大量購入～
這款是頭皮護理的洗髮精，因為一直騎摩特車上下工作室，又常常盤著頭髮，頭皮都是被悶住的，由於我的掉髮是真的蠻多的，因此在頁面看到這款高級口味的又是養護頭皮的洗","['艾瑪', '花園', '康是美蝦皮', '網站', '購入', '當時', '等於', '香味', '其實', '香味', '今年', '準備', '考取', '芳療師', '關係', '精油界', '裡面', '高級', '口味', '話說', '網路', '認真', '反正', '踩雷', '大膽', '買下去', '不同', '味道', '安柏媽', '這樣', '購入', '頭皮', '護理', '摩特車', '上下', '工作室', '常常', '頭皮', '悶住', '掉髮', '頁面', '高級', '口味', '養護', '頭皮']"
"我的頭髮掉髮真的很嚴重，每天梳頭洗頭都是一撮一撮的掉，一度懷疑是不是禿頭了，結果沒有😂
試了好幾罐強健髮根和防掉髮的洗髮精，效果還是一樣。
這次雪芙蘭的新品裡有強健髮根的，當然要來試試看，搶救我的頭髮。
一開始看到主成分生薑，有點擔心味道會不會不好聞，
雪芙蘭在寶雅很貼心的設有試聞瓶，這款完全沒有薑的味道，而是很清新的草本香氣，讓我超期待洗完後的味道如何😍
我是9月初購入的，目前已經使用超過半罐。
我之前習慣用兩至三種不同牌子的洗髮精輪流使用，有的防掉髮，有的止頭皮癢，所以一罐都用很久，第一次同罐洗一個月","['掉髮', '嚴重', '梳頭', '洗頭', '懷疑', '禿頭', '結果', '強健', '髮根', '掉髮', '雪芙蘭', '新品', '強健', '髮根', '當然', '搶救', '主成分', '生薑', '擔心', '味道', '會不會', '好聞', '雪芙蘭', '寶雅', '貼心', '設有', '試聞瓶', '完全', '味道', '清新', '草本', '香氣', '期待', '味道', '如何', '9月', '購入', '目前', '已經', '習慣', '不同', '牌子', '輪流', '掉髮', '頭皮']"
